DateTime,Global_active_power
5470,73489.84224
5471,71133.80507999999
5472,68485.24387
5473,66829.36131000001
5474,64962.20412
5475,63311.37958
5476,61694.228440000006
5477,60505.46637
5478,59012.98365000001
5479,57702.42945
5480,56771.00602
5481,55797.40077
5482,54325.7956
5483,53744.96257
5484,52915.45246
5485,52605.77574
5486,52419.58409
5487,51878.62074
5488,51300.22469
5489,51147.76762
5490,50990.05846
5491,50513.14079
5492,50106.4282
5493,49747.47901
5494,49336.93577
5495,49193.81646
5496,49016.19773
5497,49113.63814
5498,48942.15189
5499,48997.73339
5500,48706.58221
5501,48901.79886
5502,49084.1494
5503,49388.93469
5504,49588.243870000006
5505,50414.48397
5506,51126.77347
5507,52505.15379
5508,53935.25755
5509,53122.28495
5510,52454.98223000001
5511,52634.91293
5512,52060.05554999999
5513,50793.84795
5514,48846.14517
5515,46828.13873
5516,44778.01303
5517,44143.428490000006
5518,44432.417870000005
5519,44736.62556
5520,45530.84851
5521,46947.21622
5522,48450.86302
5523,49492.76275
5524,50153.77409
5525,51424.46877
5526,52511.16802
5527,54072.85358
5528,55628.342
5529,57680.71239
5530,59316.60093
5531,60434.23678
5532,61858.49319000001
5533,62063.15252
5534,63111.48016
5535,64125.88719
5536,64756.78478
5537,64888.92674
5538,66350.60274
5539,67168.94278
5540,68063.55969
5541,68546.89881
5542,69118.77149
5543,69946.92586
5544,70288.77007
5545,70356.72405
5546,70679.58996000001
5547,70901.31053
5548,71105.63070000001
5549,71278.28666
5550,71341.84617
5551,70676.92852
5552,70965.63854
5553,71222.13401
5554,70813.75956
5555,70682.27552
5556,70882.74408
5557,70623.11095999999
5558,69896.38443
5559,69506.39289
5560,69079.29854
5561,69335.01538
5562,68814.58377
5563,68918.41100000001
5564,69195.55047
5565,69016.86083
5566,68355.63466000001
5567,68231.97266
5568,67748.69541
5569,67453.36677000001
5570,67019.89555
5571,66493.11731
5572,65934.3997
5573,65744.70362
5574,65620.7628
5575,66105.02967
5576,66113.56135
5577,66876.89405
5578,67841.04858999999
5579,70114.81892
5580,74486.21546
5581,81166.58431
5582,87596.40763
5583,90882.53891
5584,91867.16837
